match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision,event,opponent,india_result,year,india_won_toss,india_batted_first
1065348,04-12-2016,India,Pakistan,Asian Institute of Technology Ground,Bangkok,India,India,bat,Asian Cricket Council Women's Twenty20 Asia Cup,Pakistan,Win,2016,TRUE,TRUE
1123206,13-02-2018,South Africa,India,Senwes Park,Potchefstroom,India,India,field,India Women tour of South Africa,South Africa,Win,2018,TRUE,FALSE
1123207,16-02-2018,South Africa,India,Buffalo Park,East London,India,India,field,India Women tour of South Africa,South Africa,Win,2018,TRUE,FALSE
1123208,18-02-2018,India,South Africa,The Wanderers Stadium,Johannesburg,South Africa,South Africa,field,India Women tour of South Africa,South Africa,Loss,2018,FALSE,TRUE
1123209,21-02-2018,South Africa,India,SuperSport Park,Centurion,,India,field,India Women tour of South Africa,South Africa,No Result,2018,TRUE,FALSE
1123210,24-02-2018,India,South Africa,Newlands,Cape Town,India,South Africa,field,India Women tour of South Africa,South Africa,Win,2018,FALSE,TRUE
1131235,22-03-2018,India,Australia,Brabourne Stadium,Mumbai,Australia,Australia,field,India Tri-Nation Women's T20 Series,Australia,Loss,2018,FALSE,TRUE
1131237,25-03-2018,India,England,Brabourne Stadium,Mumbai,England,England,field,India Tri-Nation Women's T20 Series,England,Loss,2018,FALSE,TRUE
1131238,26-03-2018,Australia,India,Brabourne Stadium,Mumbai,Australia,India,field,India Tri-Nation Women's T20 Series,Australia,Loss,2018,TRUE,FALSE
1131240,29-03-2018,England,India,Brabourne Stadium,Mumbai,India,England,bat,India Tri-Nation Women's T20 Series,England,Win,2018,FALSE,FALSE
1148048,03-06-2018,India,Malaysia,Kinrara Academy Oval,Kuala Lumpur,India,India,bat,Women's Twenty20 Asia Cup,Malaysia,Win,2018,TRUE,TRUE
1148052,04-06-2018,India,Thailand,Royal Selangor Club,Kuala Lumpur,India,Thailand,field,Women's Twenty20 Asia Cup,Thailand,Win,2018,FALSE,TRUE
1148056,06-06-2018,India,Bangladesh,Kinrara Academy Oval,Kuala Lumpur,Bangladesh,India,bat,Women's Twenty20 Asia Cup,Bangladesh,Loss,2018,TRUE,TRUE
1148059,07-06-2018,Sri Lanka,India,Royal Selangor Club,Kuala Lumpur,India,Sri Lanka,bat,Women's Twenty20 Asia Cup,Sri Lanka,Win,2018,FALSE,FALSE
1148060,09-06-2018,Pakistan,India,Kinrara Academy Oval,Kuala Lumpur,India,Pakistan,bat,Women's Twenty20 Asia Cup,Pakistan,Win,2018,FALSE,FALSE
1148063,10-06-2018,India,Bangladesh,Kinrara Academy Oval,Kuala Lumpur,Bangladesh,Bangladesh,field,Women's Twenty20 Asia Cup,Bangladesh,Loss,2018,FALSE,TRUE
1150533,09-11-2018,India,New Zealand,Providence Stadium,Guyana,India,India,bat,ICC Women's T20 World Cup,New Zealand,Win,2018,TRUE,TRUE
1150537,11-11-2018,Pakistan,India,Providence Stadium,Guyana,India,India,field,ICC Women's T20 World Cup,Pakistan,Win,2018,TRUE,FALSE
1150545,15-11-2018,India,Ireland,Providence Stadium,Guyana,India,Ireland,field,ICC Women's T20 World Cup,Ireland,Win,2018,FALSE,TRUE
1150549,17-11-2018,India,Australia,Providence Stadium,Guyana,India,India,bat,ICC Women's T20 World Cup,Australia,Win,2018,TRUE,TRUE
1150554,22-11-2018,India,England,"Sir Vivian Richards Stadium, North Sound",Antigua,England,India,bat,ICC Women's T20 World Cup,England,Loss,2018,TRUE,TRUE
1153858,06-02-2019,New Zealand,India,Westpac Stadium,Wellington,New Zealand,India,field,India Women tour of New Zealand,New Zealand,Loss,2019,TRUE,FALSE
1153859,08-02-2019,New Zealand,India,Eden Park,Auckland,New Zealand,New Zealand,field,India Women tour of New Zealand,New Zealand,Loss,2019,FALSE,TRUE
1153860,10-02-2019,New Zealand,India,Seddon Park,Hamilton,New Zealand,New Zealand,bat,India Women tour of New Zealand,New Zealand,Loss,2019,FALSE,FALSE
