match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision,event
1043989,2017-02-17,Australia,New Zealand,Melbourne Cricket Ground,,Australia,New Zealand,field,New Zealand Women in Australia T20I Series
1043991,2017-02-19,Australia,New Zealand,"Simonds Stadium, South Geelong",Victoria,New Zealand,Australia,field,New Zealand Women in Australia T20I Series
1043993,2017-02-22,Australia,New Zealand,Adelaide Oval,,New Zealand,New Zealand,bat,New Zealand Women in Australia T20I Series
1044211,2016-09-27,Sri Lanka,Australia,Sinhalese Sports Club Ground,Colombo,Australia,Australia,field,
1050615,2016-11-21,New Zealand,Pakistan,Saxton Oval,Nelson,New Zealand,New Zealand,bat,
1065348,2016-12-04,India,Pakistan,Asian Institute of Technology Ground,Bangkok,India,India,bat,Asian Cricket Council Women's Twenty20 Asia Cup
1086067,2017-11-17,England,Australia,North Sydney Oval,Sydney,Australia,Australia,field,England Women tour of Australia
1086068,2017-11-19,England,Australia,Manuka Oval,Canberra,England,England,bat,England Women tour of Australia
1086069,2017-11-21,Australia,England,Manuka Oval,Canberra,England,Australia,bat,England Women tour of Australia
1122902,2017-10-21,West Indies,Sri Lanka,Coolidge Cricket Ground,Antigua,West Indies,West Indies,bat,Sri Lanka Women tour of West Indies
1122908,2017-11-09,New Zealand,Pakistan,Sharjah Cricket Stadium,,New Zealand,New Zealand,bat,New Zealand Women tour of United Arab Emirates
1122909,2017-11-12,New Zealand,Pakistan,Sharjah Cricket Stadium,,New Zealand,New Zealand,bat,New Zealand Women tour of United Arab Emirates
1122910,2017-11-14,Pakistan,New Zealand,Sharjah Cricket Stadium,,New Zealand,Pakistan,bat,New Zealand Women tour of United Arab Emirates
1123206,2018-02-13,South Africa,India,Senwes Park,Potchefstroom,India,India,field,India Women tour of South Africa
1123207,2018-02-16,South Africa,India,Buffalo Park,East London,India,India,field,India Women tour of South Africa
1123208,2018-02-18,India,South Africa,The Wanderers Stadium,Johannesburg,South Africa,South Africa,field,India Women tour of South Africa
1123209,2018-02-21,South Africa,India,SuperSport Park,Centurion,,India,field,India Women tour of South Africa
1123210,2018-02-24,India,South Africa,Newlands,Cape Town,India,South Africa,field,India Women tour of South Africa
1126720,2018-06-20,New Zealand,South Africa,The Cooper Associates County Ground,Taunton,New Zealand,South Africa,field,England Tri-Nation T20 Women's Series
1126721,2018-06-20,England,South Africa,The Cooper Associates County Ground,Taunton,England,England,bat,England Tri-Nation T20 Women's Series
1126722,2018-06-23,England,South Africa,The Cooper Associates County Ground,Taunton,South Africa,England,bat,England Tri-Nation T20 Women's Series
1126723,2018-06-23,England,New Zealand,The Cooper Associates County Ground,Taunton,England,England,bat,England Tri-Nation T20 Women's Series
1126724,2018-06-28,South Africa,New Zealand,County Ground,Bristol,New Zealand,South Africa,bat,England Tri-Nation T20 Women's Series
1126725,2018-06-28,New Zealand,England,County Ground,Bristol,England,New Zealand,bat,England Tri-Nation T20 Women's Series
1126726,2018-07-01,New Zealand,England,County Ground,Chelmsford,England,New Zealand,bat,England Tri-Nation T20 Women's Series
1131235,2018-03-22,India,Australia,Brabourne Stadium,Mumbai,Australia,Australia,field,India Tri-Nation Women's T20 Series
1131236,2018-03-23,Australia,England,Brabourne Stadium,Mumbai,England,England,field,India Tri-Nation Women's T20 Series
1131237,2018-03-25,India,England,Brabourne Stadium,Mumbai,England,England,field,India Tri-Nation Women's T20 Series
1131238,2018-03-26,Australia,India,Brabourne Stadium,Mumbai,Australia,India,field,India Tri-Nation Women's T20 Series
1131239,2018-03-28,England,Australia,Brabourne Stadium,Mumbai,Australia,Australia,field,India Tri-Nation Women's T20 Series
1131240,2018-03-29,England,India,Brabourne Stadium,Mumbai,India,England,bat,India Tri-Nation Women's T20 Series
1131241,2018-03-31,Australia,England,Brabourne Stadium,Mumbai,Australia,England,field,India Tri-Nation Women's T20 Series
1138194,2018-03-14,New Zealand,West Indies,Bay Oval,Mount Maunganui,New Zealand,West Indies,field,West Indies Women tour of New Zealand
1138195,2018-03-16,New Zealand,West Indies,Bay Oval,Mount Maunganui,New Zealand,West Indies,field,West Indies Women tour of New Zealand
